epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,93.8586,1.41229,2.10017,1.09814,0.01181,0.82491,0.55057,0.45536,0.46629,0.2535,0.56872,0.46071,0.47097,0.24761,1.69981,2.97922,2.10153,0.01838,0,0.000325926,0.000325926,0.0677333
2,145.882,1.35287,1.96314,1.02403,0.01095,0.7788,0.69715,0.6906,0.75255,0.4486,0.69895,0.69238,0.73488,0.4383,1.47194,2.57702,1.2374,0.01472,0,0.000659149,0.000659149,0.0347332
3,197.578,1.28587,1.9488,1.0222,0.01076,0.78371,0.75229,0.6625,0.75672,0.44148,0.80033,0.64821,0.75421,0.46239,1.50911,2.20009,1.19695,0.01567,0,0.000991926,0.000991926,0.00173267
4,249.361,1.30922,1.90207,1.01213,0.01084,0.76486,0.7187,0.65714,0.69233,0.41399,0.72803,0.66445,0.70245,0.44085,1.53274,2.15451,1.46977,0.01621,0,0.000998489,0.000998489,0.000998489
5,300.715,1.30757,1.93717,1.04062,0.01106,0.78358,0.7933,0.60995,0.71842,0.43126,0.81806,0.60218,0.71611,0.44116,1.49558,2.26573,1.34438,0.01512,0,0.000997316,0.000997316,0.000997316
6,351.371,1.27707,1.93636,1.02526,0.01054,0.7959,0.71933,0.6682,0.75143,0.44217,0.71164,0.66106,0.74964,0.45297,1.51214,2.22785,1.22784,0.01599,0,0.000995808,0.000995808,0.000995808
7,401.17,1.28953,1.94237,1.01905,0.01103,0.79615,0.70159,0.63815,0.70177,0.41658,0.69425,0.64469,0.69653,0.42542,1.5384,2.24069,1.38213,0.01538,0,0.000993967,0.000993967,0.000993967
8,451.521,1.29643,1.92922,1.00706,0.01075,0.78575,0.68376,0.6448,0.69266,0.40644,0.68522,0.6336,0.69057,0.41521,1.53906,2.32319,1.37512,0.01587,0,0.000991795,0.000991795,0.000991795
9,501.512,1.27162,1.91416,0.96378,0.01047,0.74144,0.7429,0.65536,0.73602,0.44097,0.728,0.64643,0.7269,0.45196,1.49179,2.18899,1.16957,0.01525,0,0.000989292,0.000989292,0.000989292
10,551.969,1.28157,1.91106,1.00101,0.01023,0.72986,0.77689,0.63571,0.71986,0.43816,0.77907,0.6375,0.71957,0.44686,1.49821,2.31264,1.3049,0.0159,0,0.000986461,0.000986461,0.000986461
